PRN;Time_UTC;Azimuth;Elevation;MP_C1X;MP_C5X;MP_C7X;MP_C8X;SNR_S1X;SNR_S5X;SNR_S7X;SNR_S8X
E01;2022-01-01 00:22:30;218.55;16.83;-0.3801;0.1040;-0.3297;0.0161;45.2;43.3;43.1;46.7
E01;2022-01-01 00:23:00;218.50;16.65;-0.3043;0.1994;0.1171;0.0156;44.5;43.6;44.0;46.8
E01;2022-01-01 00:23:30;218.44;16.47;0.0851;0.3028;-0.2450;0.0461;43.5;43.6;43.2;47.5
E01;2022-01-01 00:24:00;218.38;16.29;-0.2822;0.6743;0.2063;0.1504;43.1;44.0;43.0;47.0
E01;2022-01-01 00:24:30;218.33;16.11;-0.8702;0.5874;0.4645;0.1781;42.3;44.1;43.6;47.6
E01;2022-01-01 00:25:00;218.27;15.93;-0.2466;0.5498;0.5011;0.2743;42.5;43.9;43.5;47.6
E01;2022-01-01 00:25:30;218.22;15.75;0.0923;0.5201;0.2690;0.2707;42.8;43.9;42.8;47.1
E01;2022-01-01 00:26:00;218.16;15.57;-0.3197;0.2894;0.1829;0.2665;43.9;43.7;42.9;47.2
E01;2022-01-01 00:26:30;218.10;15.39;-0.1010;0.6930;-0.1468;0.4177;44.1;43.7;43.1;47.0
E01;2022-01-01 00:27:00;218.05;15.21;0.5212;0.3673;-0.0153;0.5158;44.0;43.7;43.6;47.3
E01;2022-01-01 00:27:30;217.99;15.03;-0.2198;-0.4325;0.2503;0.5336;44.2;42.8;43.5;47.2
E01;2022-01-01 00:28:00;217.94;14.85;0.1130;-0.3071;0.1948;0.4765;44.2;42.7;44.0;47.0
E01;2022-01-01 00:28:30;217.88;14.67;0.0663;-0.5729;0.0149;0.3448;43.9;42.6;43.5;47.3
E01;2022-01-01 00:29:00;217.83;14.49;-0.1548;-0.5732;0.1176;0.3461;44.0;43.1;43.7;47.4
E01;2022-01-01 00:29:30;217.77;14.31;0.2362;-0.5681;0.1862;0.3124;44.8;42.7;44.5;47.3
E01;2022-01-01 00:30:00;217.72;14.13;-0.2400;-1.1766;0.1426;0.0652;43.6;42.2;43.8;46.9
E01;2022-01-01 00:30:30;217.67;13.95;0.0309;-0.8931;0.6402;-0.0394;44.5;41.9;44.3;47.0
E01;2022-01-01 00:31:00;217.61;13.77;0.1645;-0.2916;0.1548;-0.1226;42.7;42.7;43.2;46.8
E01;2022-01-01 00:31:30;217.56;13.59;-0.6769;-0.8142;0.0236;-0.1973;42.9;42.2;43.0;45.9
E01;2022-01-01 00:32:00;217.51;13.41;-0.0235;-0.3066;0.4018;-0.1534;43.1;42.8;42.7;46.8
E01;2022-01-01 00:32:30;217.45;13.23;0.1163;-0.1969;-0.0088;-0.2969;43.7;41.9;42.4;45.6
E01;2022-01-01 00:33:00;217.40;13.05;-0.1467;-0.0886;-0.0791;-0.3288;44.6;42.5;42.7;46.1
E01;2022-01-01 00:33:30;217.35;12.87;0.3760;0.0891;-0.1219;-0.2200;43.3;43.1;42.0;46.1
E01;2022-01-01 00:34:00;217.29;12.70;0.2534;-0.1527;-0.2180;-0.0752;44.8;42.4;42.2;45.5
E01;2022-01-01 00:34:30;217.24;12.52;0.4494;-0.0017;0.5121;-0.0094;45.3;42.8;42.4;46.5
E01;2022-01-01 00:35:00;217.19;12.34;0.2051;0.0674;0.0244;-0.0189;44.2;42.8;42.3;46.8
E01;2022-01-01 00:35:30;217.14;12.16;0.2542;-0.4096;0.1074;-0.0622;43.2;41.8;42.6;46.1
E01;2022-01-01 00:36:00;217.08;11.98;0.3129;0.2105;0.5579;-0.0535;44.7;43.1;42.4;46.5
E01;2022-01-01 00:36:30;217.03;11.80;0.1095;0.0455;-0.0611;-0.1047;43.9;42.3;41.7;45.6
E01;2022-01-01 00:37:00;216.98;11.63;-0.2883;0.0771;0.1874;-0.1767;43.2;41.9;42.4;45.8
E01;2022-01-01 00:37:30;216.93;11.45;0.2782;0.1823;0.1914;-0.1690;42.8;41.9;42.0;45.2
E01;2022-01-01 00:38:00;216.88;11.27;-0.1295;-0.2774;-0.0668;-0.1960;44.4;40.9;41.0;45.0
E01;2022-01-01 00:38:30;216.82;11.09;0.2162;-0.2650;-0.1315;-0.3018;43.1;41.2;41.0;44.7
E01;2022-01-01 00:39:00;216.77;10.92;-0.2514;-0.2403;-0.0311;-0.2588;44.0;41.1;40.6;44.5
E01;2022-01-01 00:39:30;216.72;10.74;-0.2977;0.1539;0.2133;-0.2808;42.7;41.6;39.9;44.5
E01;2022-01-01 00:40:00;216.67;10.56;-0.1044;0.6656;-0.2434;-0.2645;41.8;41.7;39.7;44.6
E01;2022-01-01 00:40:30;216.62;10.38;-0.5942;0.0892;-0.6415;-0.2157;42.7;41.5;39.6;44.7
E01;2022-01-01 00:41:00;216.57;10.21;0.3134;0.3088;-0.1414;-0.1830;42.3;42.5;40.8;45.3
E01;2022-01-01 00:41:30;216.52;10.03;-0.1520;0.3247;-0.9960;-0.1404;42.6;42.0;39.6;44.8
E01;2022-01-01 00:42:00;216.46;9.85;-0.0467;0.4665;-0.1717;-0.1173;41.6;42.4;40.5;45.7
E01;2022-01-01 00:42:30;216.41;9.68;-0.5121;0.4342;-0.4244;-0.0132;42.7;42.3;41.0;45.5
E01;2022-01-01 00:43:00;216.36;9.50;-0.1217;0.0524;-0.5204;0.0325;42.4;41.9;40.5;45.1
E01;2022-01-01 00:43:30;216.31;9.32;-0.0582;-0.1346;-0.4789;0.0624;42.5;41.4;40.4;44.8
E01;2022-01-01 00:44:00;216.26;9.15;-0.3853;-0.2396;-0.2631;0.0793;41.9;41.5;40.7;45.1
E01;2022-01-01 00:44:30;216.21;8.97;0.5848;-0.4270;0.3042;0.0802;41.2;41.2;40.7;44.3
E01;2022-01-01 00:45:00;216.16;8.80;-0.2525;-0.0566;0.1190;0.0473;42.3;39.8;40.5;43.8
E01;2022-01-01 00:45:30;216.11;8.62;-0.2016;-0.5002;0.1466;0.0066;41.2;39.8;40.2;44.0
E01;2022-01-01 00:46:00;216.06;8.44;-0.2332;-0.7421;-0.2005;0.1102;41.2;39.6;39.8;43.5
E01;2022-01-01 00:46:30;216.01;8.27;-0.2800;-0.0043;0.2211;0.0477;41.3;39.9;39.8;43.7
E01;2022-01-01 00:47:00;215.96;8.09;-0.0154;-0.7206;0.0269;0.1316;41.1;39.1;39.7;43.2
E01;2022-01-01 00:47:30;215.91;7.92;-0.1339;-0.4520;0.5791;0.1304;42.8;39.4;40.2;43.2
E01;2022-01-01 00:48:00;215.86;7.74;0.1229;-0.3288;0.3069;0.1454;42.6;39.5;40.1;43.5
E01;2022-01-01 00:48:30;215.81;7.57;0.0026;-0.0518;0.1046;0.0663;42.7;40.1;40.2;43.9
E01;2022-01-01 00:49:00;215.76;7.39;0.6433;-0.3436;0.2927;0.1261;42.1;40.5;40.7;44.1
E01;2022-01-01 00:49:30;215.71;7.22;0.2535;-0.1455;0.4699;0.2510;42.3;40.4;40.8;44.0
E01;2022-01-01 00:50:00;215.66;7.04;0.1300;-0.0575;0.3612;0.1548;42.0;40.9;41.5;44.4
E01;2022-01-01 00:50:30;215.61;6.87;-0.2397;-0.2927;0.6297;0.1690;41.2;41.3;41.6;44.8
E01;2022-01-01 00:51:00;215.56;6.70;0.4253;0.1961;-0.0908;0.1655;41.4;42.1;41.0;45.3
E01;2022-01-01 00:51:30;215.51;6.52;0.3370;0.1960;0.0828;-0.0016;40.0;40.9;40.7;44.2
E01;2022-01-01 00:52:00;215.46;6.35;-0.8039;0.3077;-0.0443;0.0146;40.5;41.4;41.2;45.3
E01;2022-01-01 00:52:30;215.41;6.17;0.1369;-0.0744;-0.2364;0.0086;38.7;40.8;39.9;44.0
E01;2022-01-01 00:53:00;215.36;6.00;-0.2369;-0.1074;-0.6036;-0.0869;38.6;40.4;39.6;43.8
E01;2022-01-01 00:53:30;215.31;5.83;-0.1507;-0.0109;0.2397;-0.1696;38.9;40.9;40.0;44.2
E01;2022-01-01 00:54:00;215.26;5.65;-0.1274;-0.0062;-0.5190;0.0003;38.1;40.1;38.8;43.4
E01;2022-01-01 00:54:30;215.21;5.48;-0.2812;-0.0632;-0.5409;-0.2717;38.5;39.7;38.0;42.7
E01;2022-01-01 00:55:00;215.16;5.31;-0.7426;0.1765;-0.2003;0.0586;36.0;39.1;38.9;43.0
E01;2022-01-01 00:55:30;215.11;5.14;0.0498;-0.1483;-1.1474;-0.2138;35.8;39.1;36.8;41.9
E01;2022-01-01 00:56:00;215.06;4.96;-0.5681;-0.3390;0.0652;-0.0526;37.6;37.9;37.8;42.1
E01;2022-01-01 00:56:30;215.01;4.79;-0.0374;0.3674;-0.6798;-0.1266;37.3;38.1;36.4;40.9
E01;2022-01-01 00:57:00;214.96;4.62;-1.6763;-0.6156;-0.4306;-0.3120;38.6;36.2;37.1;40.0
E01;2022-01-01 00:57:30;214.91;4.45;0.1348;0.4835;-0.5734;-0.0098;35.1;36.7;34.6;39.3
E01;2022-01-01 00:58:00;214.86;4.27;0.1008;-0.6999;-0.8208;-0.3669;36.4;35.4;34.5;38.1
E01;2022-01-01 00:58:30;214.81;4.10;-0.9384;-0.0010;0.3336;0.1488;37.8;33.7;34.1;37.3
E01;2022-01-01 00:59:00;214.76;3.93;0.3579;0.7375;0.0063;-0.3642;36.1;35.3;30.6;37.1
E01;2022-01-01 00:59:30;214.71;3.76;-0.2943;-1.4022;0.4961;-0.2304;38.1;30.2;32.6;34.6
E01;2022-01-01 01:00:00;214.66;3.59;-0.7107;0.8238;-0.8609;-0.0743;38.5;34.6;27.9;36.1
E01;2022-01-01 01:00:30;214.61;3.42;-0.1255;0.3356;-0.6862;-0.9380;36.9;32.4;29.1;33.5
E01;2022-01-01 01:01:00;214.56;3.25;0.2404;0.5853;-0.6940;0.1228;36.5;31.4;28.9;33.6
E01;2022-01-01 01:01:30;214.51;3.08;-0.1422;1.3840;nan;-0.6188;38.9;33.1;nan;32.9
E01;2022-01-01 01:02:00;214.46;2.90;0.4631;-1.5129;nan;0.0846;38.7;27.7;nan;31.3
E01;2022-01-01 01:02:30;214.41;2.73;0.5088;0.5270;nan;0.4031;36.2;33.4;nan;34.1
E01;2022-01-01 01:03:00;214.36;2.56;-0.1470;0.5661;nan;-1.1224;37.8;30.7;nan;31.3
E01;2022-01-01 01:03:30;214.31;2.39;0.4659;0.2206;nan;0.3159;37.7;32.6;nan;35.6
E01;2022-01-01 01:04:00;214.26;2.22;0.7675;1.0797;nan;-1.2803;36.1;33.2;nan;32.6
E01;2022-01-01 01:04:30;214.21;2.06;0.9451;1.0961;nan;0.8233;36.8;36.1;nan;37.1
E01;2022-01-01 01:05:00;214.16;1.89;0.0850;0.0795;nan;-0.3665;38.0;31.8;nan;32.2
E01;2022-01-01 01:05:30;214.11;1.72;0.9917;1.0149;nan;0.2746;35.8;35.5;nan;35.0
E01;2022-01-01 01:06:00;214.06;1.55;0.9532;1.1193;nan;0.1378;35.3;34.9;nan;36.9
E01;2022-01-01 01:06:30;214.01;1.38;1.1966;0.5349;nan;0.0705;34.3;32.9;nan;34.6
E01;2022-01-01 01:07:00;213.96;1.21;0.9367;1.0953;nan;0.1379;34.7;35.1;nan;36.2
E01;2022-01-01 01:07:30;213.91;1.04;0.7634;1.0013;nan;0.2659;34.1;36.2;nan;37.6
E01;2022-01-01 01:08:00;213.86;0.87;0.8440;0.2981;nan;0.1813;31.7;34.8;nan;35.8
E01;2022-01-01 01:08:30;213.81;0.71;0.2607;0.3037;0.0000;0.1347;30.1;33.0;27.4;34.1
E01;2022-01-01 01:09:00;213.76;0.54;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 01:09:30;213.71;0.37;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 01:10:00;213.66;0.20;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 01:10:30;213.61;0.04;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:07:00;138.56;0.09;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:07:30;138.50;0.25;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:08:00;138.44;0.42;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:08:30;138.38;0.58;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:09:00;138.33;0.75;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:09:30;138.27;0.92;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:10:00;138.21;1.08;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:10:30;138.15;1.25;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:11:00;138.09;1.42;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:11:30;138.03;1.58;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:12:00;137.97;1.75;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:12:30;137.92;1.92;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:13:00;137.86;2.09;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:13:30;137.80;2.25;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:14:00;137.74;2.42;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:14:30;137.68;2.59;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:15:00;137.62;2.76;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:15:30;137.56;2.93;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:16:00;137.51;3.10;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:16:30;137.45;3.27;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:17:00;137.39;3.43;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:17:30;137.33;3.60;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:18:00;137.27;3.77;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:18:30;137.21;3.94;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:19:00;137.15;4.11;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:19:30;137.10;4.28;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:20:00;137.04;4.45;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:20:30;136.98;4.62;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:21:00;136.92;4.79;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:21:30;136.86;4.96;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:22:00;136.80;5.13;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:22:30;136.74;5.30;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:23:00;136.68;5.47;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:23:30;136.62;5.65;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:24:00;136.57;5.82;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:24:30;136.51;5.99;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:25:00;136.45;6.16;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:25:30;136.39;6.33;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:26:00;136.33;6.50;nan;nan;nan;nan;nan;nan;nan;nan
E01;2022-01-01 07:26:30;136.27;6.67;0.3963;0.0351;0.1688;0.2712;42.5;43.0;42.6;46.3
E01;2022-01-01 07:27:00;136.21;6.85;0.2762;0.0341;0.0866;0.1440;40.4;41.7;42.0;45.2
E01;2022-01-01 07:27:30;136.15;7.02;-0.3151;0.0871;0.1019;0.1491;39.9;41.2;41.0;44.8
E01;2022-01-01 07:28:00;136.09;7.19;0.1246;0.4963;0.1201;0.3084;40.8;42.7;42.7;46.4
E01;2022-01-01 07:28:30;136.03;7.36;0.5152;0.3027;0.5540;0.2600;41.9;42.5;42.7;46.4
E01;2022-01-01 07:29:00;135.97;7.53;0.4561;0.1816;0.5795;0.1326;42.6;41.8;42.0;45.6
E01;2022-01-01 07:29:30;135.91;7.71;0.4285;0.1019;0.4240;0.1926;42.6;41.9;41.7;45.7
E01;2022-01-01 07:30:00;135.85;7.88;0.6511;0.1501;-0.2119;-0.0537;41.1;41.6;39.8;44.7
E01;2022-01-01 07:30:30;135.79;8.05;0.6462;0.0478;0.1053;-0.0391;41.2;41.1;41.3;44.8
E01;2022-01-01 07:31:00;135.73;8.22;0.4025;0.2716;0.5100;0.0154;40.9;40.9;41.0;44.6
E01;2022-01-01 07:31:30;135.67;8.40;0.0806;-0.1502;0.0916;0.1944;42.1;41.6;41.9;45.5
E01;2022-01-01 07:32:00;135.61;8.57;0.4494;0.1616;-0.0767;0.0216;41.4;43.0;41.4;45.8
E01;2022-01-01 07:32:30;135.55;8.74;0.1999;0.2586;-0.0669;0.0366;41.2;42.3;41.3;45.9
E01;2022-01-01 07:33:00;135.49;8.92;0.2589;0.4863;0.0909;0.0225;41.3;42.1;41.0;45.6
E01;2022-01-01 07:33:30;135.43;9.09;0.1598;0.1910;-0.2609;0.0204;40.3;41.3;40.8;44.3
E01;2022-01-01 07:34:00;135.37;9.26;0.0234;0.0560;0.0902;-0.0107;41.5;41.3;40.9;44.6
E01;2022-01-01 07:34:30;135.30;9.44;0.2824;0.0415;0.2212;0.0331;42.0;41.9;42.1;45.3
E01;2022-01-01 07:35:00;135.24;9.61;0.0009;0.0990;0.3660;0.1117;41.7;42.9;41.7;45.8
E01;2022-01-01 07:35:30;135.18;9.78;0.3516;0.2645;0.3757;0.1416;41.2;43.4;42.1;46.3
E01;2022-01-01 07:36:00;135.12;9.96;0.2091;0.3552;-0.1261;0.0969;42.7;43.0;40.8;45.8
E01;2022-01-01 07:36:30;135.06;10.13;0.6624;0.2816;0.0905;0.0188;42.3;43.0;40.9;45.6
E01;2022-01-01 07:37:00;135.00;10.31;0.2535;0.3894;0.2386;0.0349;41.7;42.7;41.8;46.0
E01;2022-01-01 07:37:30;134.94;10.48;0.2904;0.2654;0.3143;0.2070;41.4;43.8;42.7;47.0
E01;2022-01-01 07:38:00;134.87;10.65;0.3560;0.1732;0.7108;0.2581;40.7;43.8;42.8;46.9
E01;2022-01-01 07:38:30;134.81;10.83;0.1557;0.1647;0.6583;0.2304;40.7;43.4;41.8;46.2
E01;2022-01-01 07:39:00;134.75;11.00;0.3743;0.2775;0.3519;0.1633;40.5;42.8;41.5;45.9
E01;2022-01-01 07:39:30;134.69;11.18;0.5168;0.0438;0.5125;0.2007;41.6;42.5;42.0;46.3
E01;2022-01-01 07:40:00;134.62;11.35;0.0703;0.4905;0.7497;0.2386;41.6;43.2;43.0;47.1
E01;2022-01-01 07:40:30;134.56;11.53;0.2295;0.4293;0.7086;0.3390;40.9;43.7;43.0;46.8
E01;2022-01-01 07:41:00;134.50;11.70;-0.2058;0.4298;0.0907;0.3043;41.2;43.1;42.2;46.4
E01;2022-01-01 07:41:30;134.43;11.88;0.2024;0.5729;-0.1982;0.1164;40.4;42.9;41.6;45.9
E01;2022-01-01 07:42:00;134.37;12.05;0.0725;0.4171;0.0955;0.2349;40.3;42.7;42.2;46.4
E01;2022-01-01 07:42:30;134.31;12.23;-0.0105;0.5038;0.6772;0.3061;42.3;43.2;43.3;47.2
E01;2022-01-01 07:43:00;134.24;12.40;0.3832;0.4746;0.3464;0.2615;40.7;43.5;42.7;46.4
E01;2022-01-01 07:43:30;134.18;12.58;-0.2968;0.4114;0.1065;0.2024;40.5;42.5;41.9;45.9
E01;2022-01-01 07:44:00;134.11;12.75;0.2871;0.4452;0.3553;0.1943;41.2;42.7;42.5;46.3
E01;2022-01-01 07:44:30;134.05;12.93;-0.1080;0.1917;0.0617;0.2371;40.4;42.2;42.3;46.6
E01;2022-01-01 07:45:00;133.98;13.10;-0.0708;0.1157;-0.0844;0.1772;40.0;41.9;42.0;45.4
E01;2022-01-01 07:45:30;133.92;13.28;-0.4357;-0.0046;-0.1937;0.2347;41.5;42.6;42.1;45.9
E01;2022-01-01 07:46:00;133.85;13.45;0.2582;0.0218;0.0604;0.1515;41.8;42.5;41.5;45.7
E01;2022-01-01 07:46:30;133.79;13.63;-0.0944;0.2478;0.1947;0.1033;41.9;41.9;41.6;45.6
E01;2022-01-01 07:47:00;133.72;13.80;0.0393;0.7728;0.8234;0.3269;41.6;42.5;41.9;46.1
E01;2022-01-01 07:47:30;133.66;13.98;-0.3386;0.5536;-0.0287;0.0969;41.8;42.4;41.2;45.7
E01;2022-01-01 07:48:00;133.59;14.16;-0.1798;0.2983;-0.1000;-0.0573;42.8;41.1;41.5;45.1
E01;2022-01-01 07:48:30;133.53;14.33;0.1210;0.2762;0.7504;0.0945;42.3;41.8;42.0;45.5
E01;2022-01-01 07:49:00;133.46;14.51;0.7385;0.3720;0.4508;0.0264;43.1;41.6;41.0;44.9
E01;2022-01-01 07:49:30;133.39;14.68;-0.1433;-0.1974;0.2734;-0.0931;41.9;40.2;41.4;44.7
E01;2022-01-01 07:50:00;133.32;14.86;0.4703;-0.0781;0.6431;0.0300;43.1;40.9;41.9;44.8
E01;2022-01-01 07:50:30;133.26;15.03;0.1045;-0.0568;-0.3106;0.0080;43.2;41.5;41.2;44.9
E01;2022-01-01 07:51:00;133.19;15.21;-0.0203;-0.4432;0.0488;-0.1804;42.7;39.6;40.8;43.8
E01;2022-01-01 07:51:30;133.12;15.39;0.2851;0.0230;-0.0159;-0.0922;43.5;39.4;41.8;43.9
E01;2022-01-01 07:52:00;133.05;15.56;-0.2609;-0.6869;-0.0251;-0.1148;43.2;39.9;40.9;44.3
E01;2022-01-01 07:52:30;132.99;15.74;-0.0978;-0.9224;0.0987;-0.0693;43.2;40.1;41.0;44.2
